cell, mean, sigma, rms, rms_relative, absolute_err
0 0.00031600174717378134 0.00016992429710965305 0.0003587915424938164 0.0005144680966034836 0.00031600174717378134 
1 0.00053337484737348 0.0002596464686233718 0.0005932158262211744 0.0007782874370860568 0.00053337484737348 
2 0.00048085992637489643 0.0002394917877417154 0.0005371988320808169 0.000946216253332924 0.00048085992637489643 
3 0.0004168472341056389 0.00024499251402260744 0.00048351106348111495 0.0006644998619383239 0.0004168472341056389 
4 0.0003540897379254061 0.00021391769150869792 0.0004136910939874017 0.0005245021216792288 0.0003540897379254061 
5 0.00036145208228873573 0.00022603490418149095 0.00042630902605879557 0.0006257857298653819 0.00036145208228873573 
6 0.0003681967364908293 0.00017869951989058923 0.00040927051588359543 0.0005248285374736199 0.0003681967364908293 
7 0.00040835517346334086 0.0002271382744179025 0.00046727480501287206 0.0005568496460781083 0.00040835517346334086 
8 0.00035408621301753404 0.00021040564788422572 0.00041188297234855353 0.0005529369596369054 0.00035408621301753404 
9 0.00034753524789474103 0.00019466275846102807 0.00039833947590078953 0.0004915494955983286 0.00034753524789474103 
10 0.00036618637902575377 0.00020430016666754042 0.000419322098492767 0.00051873366764635 0.00036618637902575377 
11 0.00029490763814912 0.00018143928191052068 0.00034625240513084913 0.00044245398585332393 0.00029490763814912 
12 0.00036151351167126454 0.00020335230443628533 0.0004147820859685688 0.00056174553389422 0.00036151351167126454 
13 0.00040252145385520275 0.00018017409860538613 0.0004410059258354354 0.0007433862126115898 0.00040252145385520275 
14 5.699472651296846 15.35246007422174 16.376263885070166 23.843218842997985 5.699472651296846 
15 0.0003360430862321481 0.0002009160247845828 0.00039152548425315303 0.0004504971945701599 0.0003360430862321481 
16 0.0003739653301410363 0.00020265721666055437 0.000425346935585643 0.0006070234639332458 0.0003739653301410363 
17 0.0003250417951924359 0.00019294483960937716 0.00037799454989961124 0.0005392726605077577 0.0003250417951924359 
18 0.0003742069254970916 0.00020977869167992127 0.0004289964132401637 0.0005094063170739731 0.0003742069254970916 
19 0.0004321958712077756 0.0002290095445166767 0.0004891202741338616 0.000532879968206822 0.0004321958712077756 
20 0.00038881226693242364 0.0001841307618065436 0.0004302082244223003 0.0006439738091105794 0.00038881226693242364 
21 0.0003717312743028227 0.00019143684202948004 0.00041812941152353833 0.0005028709084075344 0.0003717312743028227 
22 0.0004107578895388061 0.00023504400138064273 0.00047325228621042874 0.0005182703015972274 0.0004107578895388061 
23 0.0003491939817696821 0.00018811496238803398 0.0003966404870640622 0.0004618042304588007 0.0003491939817696821 
24 0.0003522415733507333 0.0001993018902935009 0.0004047164062293036 0.0005775174743068029 0.0003522415733507333 
25 0.0003520531646762301 0.0002069067427043187 0.0004083525816436819 0.0004414578571408092 0.0003520531646762301 
26 0.0003584250669822943 0.00019900035860781633 0.0004099630121941511 0.000572576064657831 0.0003584250669822943 
27 0.0003707768285537435 0.00022960965795508224 0.0004361147230014391 0.0006077562323674459 0.0003707768285537435 
28 0.0004014006565648663 0.00021975767751003083 0.00045761984650505316 0.0005564002649931585 0.0004014006565648663 
29 0.00037502846063939573 0.00021504259898128838 0.0004323073740594555 0.0004703396408922842 0.00037502846063939573 
30 0.00033715976041413147 0.0001989968651174196 0.0003915053720820125 0.0004709997382272348 0.00033715976041413147 
31 0.000374284834996769 0.0002327784378285755 0.0004407663086335781 0.0005131210452459017 0.000374284834996769 
32 0.0003547937300307198 0.00019251341381674943 0.00040365827796353965 0.0005738728780788376 0.0003547937300307198 
33 0.0003845361387036772 0.00018453109214094221 0.0004265205340143222 0.0006020222852963952 0.0003845361387036772 
34 0.00031149047726099704 0.00018247286755393297 0.00036100230583424104 0.00048222220766430896 0.00031149047726099704 
35 0.0003330490243199475 0.00019330781800964785 0.0003850838416554506 0.0005219290503487609 0.0003330490243199475 
36 0.00041353663877917175 0.0002457387659501034 0.00048104063518943476 0.0005980996807714615 0.00041353663877917175 
37 0.00046210217108240984 0.00023427089109382502 0.0005180938784940154 0.0006607056087832189 0.00046210217108240984 
38 0.0003927196359621935 0.00024379524071176646 0.00046223893373880347 0.0005478469133503961 0.0003927196359621935 
39 0.00037079794451952284 0.00021073151112731742 0.00042649605559946964 0.00045504764660947916 0.00037079794451952284 
40 0.00038157649364122496 0.0002091961819592865 0.0004351593536233304 0.00046523758587273007 0.00038157649364122496 
41 0.000323024543312069 0.0001651400115781732 0.00036278930387486605 0.0005249557797899524 0.000323024543312069 
42 0.00039972145307338406 0.00023150593199574362 0.00046192232744944833 0.0004961203202369378 0.00039972145307338406 
43 0.00036151256732774894 0.00022338081077961393 0.00042495920152463794 0.0005556579564821604 0.00036151256732774894 
